[2026-02-10 09:58:36,193] INFO      [HARSHIT] Starting adapter
[2026-02-10 09:58:36,194] INFO      [HARSHIT] Adapter INIT | Zerodha adapter starting
[2026-02-10 09:58:36,196] INFO      [HARSHIT] LOGIN_START | Starting Zerodha login
[2026-02-10 09:58:41,691] INFO      [HARSHIT] LOGIN_SUCCESS | Access token received: 1JibF4TzEEzITSEedCu9dbAG917UhEc3
[2026-02-10 09:58:41,692] INFO      [HARSHIT] [INSTRUMENTS] CSV already exists
[2026-02-10 09:58:41,855] INFO      [HARSHIT] [INSTRUMENTS] Loaded 169005 rows
[2026-02-10 09:58:41,855] INFO      [HARSHIT] INSTRUMENTS_READY | Instruments loaded
[2026-02-10 09:58:41,855] INFO      [HARSHIT] Adapter READY | Zerodha adapter initialized
[2026-02-10 09:58:41,855] INFO      [HARSHIT] WS_START | Starting Zerodha WebSocket
[2026-02-10 09:58:41,944] INFO      [HARSHIT] Adapter connected successfully
[2026-02-10 09:58:42,016] INFO      [HARSHIT] [WS] Connected to Zerodha
[2026-02-10 09:58:49,671] INFO      [HARSHIT] COMMAND | action=PLACE_ORDER payload={'Account': '', 'ExchangeClientID': 'HARSHIT', 'ExchangeSegment': 'NSECM', 'ExchangeInstrumentID': 14366, 'SymbolName': 'IDEA', 'ExchangeInstrumentName': 'IDEA', 'ProductType': 'MIS', 'OrderType': 'MARKET', 'OrderSide': 'Buy', 'TimeInForce': 'GFD', 'DisclosedQuantity': 0, 'OrderQuantity': 1, 'LimitPrice': 0.0, 'StopPrice': 0.0, 'BlitzAppOrderID': 3156800294, 'AlgoID': '123456789', 'AlgoCategory': '123654789123', 'IsFictiveOrder': 'False'}
[2026-02-10 09:58:49,673] INFO      [HARSHIT] CACHE_TEMP | blitz_id=3156800294
[2026-02-10 09:58:49,678] INFO      [HARSHIT] ZERODHA_REST_OUT | payload={'tradingsymbol': 'IDEA', 'exchange': 'NSE', 'transaction_type': 'BUY', 'order_type': 'MARKET', 'quantity': 1, 'product': 'MIS', 'price': 0.0, 'trigger_price': 0.0, 'validity': 'DAY', 'disclosed_quantity': 0}
[2026-02-10 09:58:49,796] INFO      [HARSHIT] ZERODHA_REST_IN | payload={'status': 'success', 'data': {'order_id': '260210150491006'}}
[2026-02-10 09:58:49,796] INFO      [HARSHIT] ORDER_PLACED | blitz=3156800294 zerodha=260210150491006
[2026-02-10 09:58:49,830] INFO      [HARSHIT] ZERODHA_WS_RESPONSE | payload={'account_id': 'RGZ539', 'unfilled_quantity': 0, 'checksum': '', 'placed_by': 'RGZ539', 'order_id': '260210150491006', 'exchange_order_id': '1100000017832755', 'parent_order_id': None, 'status': 'OPEN', 'status_message': None, 'status_message_raw': None, 'order_timestamp': '2026-02-10 09:58:49', 'exchange_update_timestamp': '2026-02-10 09:58:49', 'exchange_timestamp': '2026-02-10 09:58:49', 'variety': 'regular', 'exchange': 'NSE', 'tradingsymbol': 'IDEA', 'instrument_token': 3677697, 'order_type': 'MARKET', 'transaction_type': 'BUY', 'validity': 'DAY', 'product': 'MIS', 'quantity': 1, 'disclosed_quantity': 0, 'price': 0, 'trigger_price': 0, 'average_price': 0, 'filled_quantity': 0, 'pending_quantity': 1, 'cancelled_quantity': 0, 'market_protection': 0, 'meta': {}, 'tag': None, 'guid': '205871XDITpkXwHLzmD'}
[2026-02-10 09:58:49,830] INFO      [HARSHIT] BLITZ_RESPONSE | order_id=260210150491006 payload={'SequenceNumber': 0, 'Account': '', 'ExchangeClientID': 'HARSHIT', 'BlitzAppOrderID': 3156800294, 'ExchangeOrderID': '260210150491006', 'ExchangeSegment': 'NSECM', 'ExchangeInstrumentID': 14366, 'OrderSide': 'Buy', 'OrderType': 'MARKET', 'ProductType': 'MIS', 'TimeInForce': 'GFD', 'OrderPrice': 0.0, 'OrderQuantity': 1, 'OrderStopPrice': 0.0, 'OrderStatus': 'New', 'OrderAverageTradedPrice': 0, 'LeavesQuantity': 1, 'CumulativeQuantity': 0, 'OrderDisclosedQuantity': 0, 'OrderGeneratedDateTime': None, 'ExchangeTransactTime': '2026-02-10 09:58:49', 'LastUpdateDateTime': '2026-02-10 09:58:49', 'CancelRejectReason': '', 'LastTradedPrice': 0.0, 'LastTradedQuantity': 0, 'LastExecutionTransactTime': None, 'ExecutionID': None}
[2026-02-10 09:58:50,049] INFO      [HARSHIT] [WS] NEW order published | order_id=260210150491006
[2026-02-10 09:58:50,051] INFO      [HARSHIT] ZERODHA_WS_RESPONSE | payload={'account_id': 'RGZ539', 'unfilled_quantity': 0, 'checksum': '', 'placed_by': 'RGZ539', 'order_id': '260210150491006', 'exchange_order_id': '1100000017832755', 'parent_order_id': None, 'status': 'COMPLETE', 'status_message': None, 'status_message_raw': None, 'order_timestamp': '2026-02-10 09:58:49', 'exchange_update_timestamp': '2026-02-10 09:58:49', 'exchange_timestamp': '2026-02-10 09:58:49', 'variety': 'regular', 'exchange': 'NSE', 'tradingsymbol': 'IDEA', 'instrument_token': 3677697, 'order_type': 'MARKET', 'transaction_type': 'BUY', 'validity': 'DAY', 'product': 'MIS', 'quantity': 1, 'disclosed_quantity': 0, 'price': 0, 'trigger_price': 0, 'average_price': 11.61, 'filled_quantity': 1, 'pending_quantity': 0, 'cancelled_quantity': 0, 'market_protection': 0, 'meta': {}, 'tag': None, 'guid': '205871XDITpkXwHLzmD'}
[2026-02-10 09:58:50,051] INFO      [HARSHIT] BLITZ_RESPONSE | order_id=260210150491006 payload={'SequenceNumber': 0, 'Account': '', 'ExchangeClientID': 'HARSHIT', 'BlitzAppOrderID': 3156800294, 'ExchangeOrderID': '260210150491006', 'ExchangeSegment': 'NSECM', 'ExchangeInstrumentID': 14366, 'OrderSide': 'Buy', 'OrderType': 'MARKET', 'ProductType': 'MIS', 'TimeInForce': 'GFD', 'OrderPrice': 0.0, 'OrderQuantity': 1, 'OrderStopPrice': 0.0, 'OrderStatus': 'Filled', 'OrderAverageTradedPrice': 11.61, 'LeavesQuantity': 0, 'CumulativeQuantity': 1, 'OrderDisclosedQuantity': 0, 'OrderGeneratedDateTime': None, 'ExchangeTransactTime': '2026-02-10 09:58:49', 'LastUpdateDateTime': '2026-02-10 09:58:49', 'CancelRejectReason': '', 'LastTradedPrice': 0.0, 'LastTradedQuantity': 0, 'LastExecutionTransactTime': None, 'ExecutionID': None}
