[2026-02-13 10:43:32,834] INFO      [HARSHIT] Starting adapter
[2026-02-13 10:43:32,835] INFO      [HARSHIT] Adapter INIT | Zerodha adapter starting
[2026-02-13 10:43:32,836] INFO      [HARSHIT] LOGIN_START | Starting Zerodha login
[2026-02-13 10:43:37,146] INFO      [HARSHIT] LOGIN_SUCCESS | Access token received: XjPgaitAptgMCHSV26DNT3K37YX4Wnsl
[2026-02-13 10:43:37,147] INFO      [HARSHIT] [INSTRUMENTS] CSV already exists
[2026-02-13 10:43:37,281] INFO      [HARSHIT] [INSTRUMENTS] Loaded 170461 rows
[2026-02-13 10:43:37,281] INFO      [HARSHIT] INSTRUMENTS_READY | Instruments loaded
[2026-02-13 10:43:37,281] INFO      [HARSHIT] Adapter READY | Zerodha adapter initialized
[2026-02-13 10:43:37,281] INFO      [HARSHIT] WS_START | Starting Zerodha WebSocket
[2026-02-13 10:43:37,405] INFO      [HARSHIT] Adapter connected successfully
[2026-02-13 10:43:37,492] INFO      [HARSHIT] [WEBSOCKET] Connected to Zerodha
[2026-02-13 10:43:51,152] INFO      [HARSHIT] [BLITZ-INBOUND] | action=PLACE_ORDER payload={'Account': '', 'ExchangeClientID': 'HARSHIT', 'ExchangeSegment': 'NSEFO', 'ExchangeInstrumentID': 48317, 'SymbolName': 'NIFTY', 'ExchangeInstrumentName': 'NIFTY 17FEB2026 CE 27500', 'ProductType': 'MIS', 'OrderType': 'LIMIT', 'OrderSide': 'Buy', 'TimeInForce': 'GFD', 'DisclosedQuantity': 0, 'OrderQuantity': 65, 'LimitPrice': 0.1, 'StopPrice': 0.0, 'BlitzAppOrderID': 3156556647, 'AlgoID': '123456789', 'AlgoCategory': '123654789123', 'IsFictiveOrder': 'False'}
[2026-02-13 10:43:51,153] INFO      [HARSHIT] CACHE_TEMP | blitz_id=3156556647
[2026-02-13 10:43:51,170] INFO      [HARSHIT] [TPOMS-OUTBOUND] | payload={'tradingsymbol': 'NIFTY2621727500CE', 'exchange': 'NFO', 'transaction_type': 'BUY', 'order_type': 'LIMIT', 'quantity': 65, 'product': 'MIS', 'price': 0.1, 'trigger_price': 0.0, 'validity': 'DAY', 'disclosed_quantity': 0}
[2026-02-13 10:43:51,296] INFO      [HARSHIT] [TPOMS-INBOUND] | payload={'status': 'success', 'data': {'order_id': '2022177375764537344'}}
[2026-02-13 10:43:51,296] INFO      [HARSHIT] ORDER_PLACED | blitz=3156556647 zerodha=2022177375764537344
[2026-02-13 10:43:51,353] INFO      [HARSHIT] [TPOMS-INBOUND][WebSocket] Incoming message: {'account_id': 'RGZ539', 'unfilled_quantity': 0, 'checksum': '', 'placed_by': 'RGZ539', 'order_id': '2022177375764537344', 'exchange_order_id': '1400000064102653', 'parent_order_id': None, 'status': 'OPEN', 'status_message': None, 'status_message_raw': None, 'order_timestamp': '2026-02-13 10:43:51', 'exchange_update_timestamp': '2026-02-13 10:43:51', 'exchange_timestamp': '2026-02-13 10:43:51', 'variety': 'regular', 'exchange': 'NFO', 'tradingsymbol': 'NIFTY2621727500CE', 'instrument_token': 12369154, 'order_type': 'LIMIT', 'transaction_type': 'BUY', 'validity': 'DAY', 'product': 'MIS', 'quantity': 65, 'disclosed_quantity': 0, 'price': 0.1, 'trigger_price': 0, 'average_price': 0, 'filled_quantity': 0, 'pending_quantity': 65, 'cancelled_quantity': 0, 'market_protection': 0, 'meta': {}, 'tag': None, 'guid': None}
[2026-02-13 10:43:51,354] INFO      [HARSHIT] [BLITZ-OUTBOUND] | order_id=2022177375764537344 payload={'SequenceNumber': 0, 'Account': '', 'ExchangeClientID': 'HARSHIT', 'BlitzAppOrderID': 3156556647, 'ExchangeOrderID': '2022177375764537344', 'ExchangeSegment': 'NSEFO', 'ExchangeInstrumentID': 48317, 'OrderSide': 'Buy', 'OrderType': 'LIMIT', 'ProductType': 'MIS', 'TimeInForce': 'GFD', 'OrderPrice': 0.1, 'OrderQuantity': 65, 'OrderStopPrice': 0.0, 'OrderStatus': 'New', 'OrderAverageTradedPrice': 0, 'LeavesQuantity': 65, 'CumulativeQuantity': 0, 'OrderDisclosedQuantity': 0, 'OrderGeneratedDateTime': None, 'ExchangeTransactTime': '2026-02-13 10:43:51', 'LastUpdateDateTime': '2026-02-13 10:43:51', 'CancelRejectReason': '', 'LastTradedPrice': 0, 'LastTradedQuantity': 0, 'LastExecutionTransactTime': '2026-02-13 10:43:51', 'ExecutionID': '1400000064102653'}
[2026-02-13 10:43:51,638] INFO      [HARSHIT] NEW order published | order_id=2022177375764537344
[2026-02-13 10:44:01,092] INFO      [HARSHIT] [BLITZ-INBOUND] | action=CANCEL_ORDER payload={'Account': '', 'ExchangeClientID': 'HARSHIT', 'ExchangeSegment': 'NSEFO', 'ExchangeInstrumentID': 48317, 'SymbolName': 'NIFTY', 'ExchangeInstrumentName': 'NIFTY 17FEB2026 CE 27500', 'LeavesQuantity': 65, 'CummulativeQuantity': 0, 'LastOrderModifiedTime': 1770959631, 'BlitzAppOrderID': 3156556647, 'ExchangeOrderID': '2022177375764537344'}
[2026-02-13 10:44:01,095] INFO      [HARSHIT] [TPOMS-OUTBOUND] | order_id=2022177375764537344
[2026-02-13 10:44:56,847] INFO      [HARSHIT] [TPOMS-INBOUND][WebSocket] Incoming message: {'account_id': 'RGZ539', 'unfilled_quantity': 0, 'checksum': '', 'placed_by': 'RGZ539', 'order_id': '2022177375764537344', 'exchange_order_id': '1400000064102653', 'parent_order_id': None, 'status': 'CANCELLED', 'status_message': None, 'status_message_raw': None, 'order_timestamp': '2026-02-13 10:44:56', 'exchange_update_timestamp': '2026-02-13 10:44:56', 'exchange_timestamp': '2026-02-13 10:44:56', 'variety': 'regular', 'exchange': 'NFO', 'tradingsymbol': 'NIFTY2621727500CE', 'instrument_token': 12369154, 'order_type': 'LIMIT', 'transaction_type': 'BUY', 'validity': 'DAY', 'product': 'MIS', 'quantity': 65, 'disclosed_quantity': 0, 'price': 0.1, 'trigger_price': 0, 'average_price': 0, 'filled_quantity': 0, 'pending_quantity': 65, 'cancelled_quantity': 0, 'market_protection': 0, 'meta': {}, 'tag': None, 'guid': None}
